Prg TRTbl Name,CRF ID,Description,CRF Change Type,SR No,Status,SR Assigned to,CRF Logged date,Implementation by BASIS Team,CRF Closer Date,CR Status,CRF Initiator,Assigned Executive User Name,Master Data General Configuration,Assigned Work Group Name,Owner Work Group Name,Information,Pre Migration Approved 2,Pre Migration Approved 2 Time,Pre Migration Approved 3,Pre Migration Approved 3 Time,Level 3 Approved By Name,Level 3 Approval Date,Level 4 Approved By Name,Level 4 Approval Date
SDVK962942 SAPSD-CR6358-Invoice copies required for Digital mobile app,6358,SAP SD:- Dispatch Invoicing Automation through Mobile Application.,Normal,86696,Resolved,Himanshu Sharma,2025-05-16 11:29:28.353,2025-08-22 12:41:07.230,2025-08-22 12:41:07.230,Implementation Review Closed,Nikki .,Amit Kumar,No,IT Support (Enterprise Platform),"IT Support (SAP SD, CS, PI)",Tax Invoice & Dispatch Advice Handover Digitalization on Mobile App (data will flow from HMSI server to Gtropy Server),"Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Aug 18 2025 5:57AM,Aug 18 2025 6:44AM,Aug 18 2025 7:51AM,Aug 18 2025 7:47AM,Aug 18 2025 7:43AM",Bhasker Chhabra,Aug 18 2025 1:25PM,,,,
SDVK963399 MM: Purchase Group Sanath Kumar CR6415,6415,New Purchase Group,Normal,98978,Resolved,Amit Kumar,2025-05-23 11:02:58.510,2025-08-07 12:35:10.340,2025-08-07 12:35:10.340,Implementation Review Closed,Gaurav Mishra,Amit Kumar,Yes,IT Support (Enterprise Platform),"IT Support (SAP MM, QM, PP, PM, PI)",New purchase Group need to be created in SAP to make the PO's. Employee ID 13173,"Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Jul 24 2025 4:18PM,Jul 24 2025 4:59PM,Jul 24 2025 11:51AM,Jul 25 2025 3:32AM,Jul 24 2025 3:19PM",,,,,,
,6461,OLAP Report Enhancement- Addition of Invoice Cancellation Request Status and Frame Number in Summary Report Test Ride Report Correction Customer Remarks Column in Enquiry Leakage Report counter non counter bifurcation,Normal,99722,Resolved,Priyank Bansal,2025-05-29 08:56:41.067,2025-08-21 09:28:15.100,2025-08-21 09:28:15.100,Implementation Review Closed,Vivek Sharma,Akhilesh Kumar Gupta,No,IT Support (Hirise),IT Support (Hirise),"Financial Impact : NoTax Impact : NoPayable Impact : NoRequest Details : Dear Sir,Please approve the request for the addition of Cancellation Request Status & Frame Number in Invoice cancellation Summary & Invoice cancellation detailed report.This development enable the proper tracking of approval based invoice cancellation for audit purpose.RegardsKantheep","Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Jul 26 2025 3:36PM,Jul 25 2025 11:51AM,Jul 25 2025 11:44AM,Jul 25 2025 11:48AM,Jul 26 2025 2:46PM",Bhasker Chhabra,Jul 28 2025 2:40PM,,,,
Change of reset factor in login module. EPC application is taken care of by Intellinet system partner.,6503,Simplifying the EPC Portal MFA process: Reset factor functionality needs to be provided at the user level.,Normal,99536,Resolved,Vishal Saini,2025-06-10 12:12:45.953,2025-08-02 08:10:01.973,2025-08-02 08:10:01.973,Implementation Review Closed,Vishal Saini,DataCenter,No,IT Support (Infra),IT Support (EPC HO),Simplifying the EPC Portal MFA process of SR resolution - Reset factor functionality needs to be provided at the user level.,"Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Jul 26 2025 3:35PM,Jul 25 2025 12:37PM,Jul 25 2025 12:41PM,Jul 28 2025 5:26AM,Jul 26 2025 9:07PM",Bhasker Chhabra,Jul 28 2025 2:39PM,,,,
Changes will be done w.r.t production Order via FFID,6507,Production Order Archive,Normal,100400,Resolved,Ved Prakash,2025-06-10 16:28:41.197,2025-08-18 15:10:58.030,2025-08-18 15:10:58.030,Implementation Review Closed,Gaurav Mishra,Gaurav Mishra,Yes,"IT Support (SAP MM, QM, PP, PM, PI)","IT Support (SAP MM, QM, PP, PM, PI)",Need to archive the attached production orders,"Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Jul 23 2025 8:52AM,Jul 23 2025 9:48AM,Jul 23 2025 8:50AM,Jul 24 2025 11:08AM,Jul 23 2025 10:32AM",,,,,,
"Page addition and modification, need to put build in e-portal production Database level changes required",6516,New module - E-portal for automation of Joining expense reimbursement processes of new joinee.,Normal,80978,Resolved,Naveen Kumar Sharma,2025-06-11 13:53:27.150,2025-08-02 16:14:40.117,2025-08-02 16:14:40.117,Implementation Review Closed,Priyanka .,DataCenter,No,IT Support (Infra),IT Support (Employee Portal),Financial Impact : NoTax Impact : NoPayable Impact : NoRequest Details : Create Module on E-portal for automation of Joining expense reimbursement processes of new joinee.,"Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Jul 24 2025 4:19PM,Jul 24 2025 10:58AM,Jul 24 2025 5:07AM,Jul 24 2025 11:09AM,Jul 24 2025 8:37AM",Bhasker Chhabra,Jul 26 2025 8:46AM,,,,
SDVK963735 TTL_919672 SAPSD-CR6551-Plan Date Addition in ZEQ_CR,6551,SAP SD:- To update the plan date via ZEQ_CR uploader specially for imported vehicles.,Normal,100206,Resolved,Mohmmad Aakib,2025-06-14 16:33:41.493,2025-08-06 15:40:39.847,2025-08-06 15:40:39.847,Implementation Review Closed,Nikki .,Amit Kumar,No,IT Support (Enterprise Platform),"IT Support (SAP SD, CS, PI)","Financial Impact : NoTax Impact : NoPayable Impact : NoFrame / Engine Impact : NoRequest Details : In CBU Model Import ProcessWhile creating Equipment in SAP, we are not able to add the plan date as there is no column for the same.Request you to develop / revise the existing templet.T-code-> ZEQ_CR","Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Jul 26 2025 3:35PM,Jul 25 2025 12:37PM,Jul 25 2025 9:40AM,Jul 25 2025 11:39AM,Jul 25 2025 10:46AM",Bhasker Chhabra,Jul 28 2025 2:39PM,,,,
Change authority from Database only. update portaladmin.dgit_iomappauthseq t set t.adempcode = 12435 where t.iomheaderid = 513255 and t.adempcode = 8882; update portaladmin.dgit_iomapphistory t set t.adempcode = 12435 where t.iomheaderid = 513255 and t.adempcode = 8882;,6557,"Dear San, Request for Approval Authority change on MOC documents. As Dr -Rajesh Kumar - [8882] has some issue he can't be able to Approve so please replace him with Dr-Amit Ramesh Patil (12435). This Document is related New CKD line project -2F. For safety requirement before proceeding for project work.So please allow.",Normal,100940,Resolved,Rajesh Roshan,2025-06-17 13:44:40.680,2025-08-27 14:16:46.903,2025-08-27 14:16:46.903,Implementation Review Closed,Priyanka .,Sumit Kumar,No,IT Support [Hirise -Infrastructure],IT Support (Employee Portal),"Financial Impact : NoTax Impact : NoPayable Impact : NoRequest Details : Dear San, Request for Approval Authority change on MOC documents. As Dr -Rajesh Kumar - [8882] has some issue he can't be able to Approve so please replace him with Dr-Amit Ramesh Patil (12435). This Document is related New CKD line project -2F. For safety requirement before proceeding for project work So please allow.","Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Jun 23 2025 5:00AM,Jun 23 2025 4:09AM,Jun 20 2025 3:06PM,Jun 23 2025 5:33AM,Jun 20 2025 12:15PM",Bhasker Chhabra,Jun 23 2025 9:27AM,,,,
Need to revised Car Loan Amount in Success Factors in Accordance with the new Policy.,6575,Successfactor:- Need to revised Car Loan Amount in Success Factors in Accordance with the new Policy.,Normal,101364,Resolved,Siva Manepalli,2025-06-18 16:38:34.493,2025-08-12 12:21:13.783,2025-08-12 12:21:13.783,Implementation Review Closed,Nikki .,Siva Manepalli,No,IT Support (SAP Successfactor),IT Support (SAP Successfactor),"This is to inform you that Revised Car Loan Policy was officially released yesterday. As per the revised guidelines ,there has been a Change in Eligible Car Loan Amount for Associates. Request you to Update the Car Loan Amount in Success Factors in Accordance with the new Policy","Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Jun 19 2025 11:47AM,Jun 19 2025 8:32AM,Jun 19 2025 6:00AM,Jun 19 2025 5:49AM,Jun 19 2025 4:57AM",Bhasker Chhabra,Jun 20 2025 4:33AM,,,,
1. SDVK964164 2. SDVK963007 3. SDVK962679 TTL_919672 SAPHR-CR4349-SF-Special Leave logic addition 4. SDVK962679 TTL_919414 ZHR_QUOTA_POST - SF-Leave type 85 add and date validation,6580,SAP HR:- Special Leave changes.,Normal,70131,Resolved,Sarvada Kamble,2025-06-19 12:18:20.957,2025-08-04 19:58:00.207,2025-08-04 19:58:00.207,Implementation Review Closed,Nikki .,Amit Kumar,Yes,IT Support (Enterprise Platform),IT Support (SAP FI and HR),Special leaves balance should be display in the leave card of associates.Current situation_ Special leave balance is not displaying in leave card.Proposal_ Special leave balance should be visible in the Leave card.,"Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Aug 1 2025 6:03AM,Aug 1 2025 11:39AM,Aug 1 2025 3:48AM,Aug 1 2025 10:41AM,Aug 1 2025 4:53AM",,,,,,
Page level and Database level change.,6590,"1. New Enhancement Points e-Portal in Local Conveys Module - a. In multiple entries missing City From / City To / Both (City From & To) b. After ticket uploading, we are unable to change at the time of invoice uploading. c. Please provide the delete/ hide option of unused invoice entries so that we can avoid the duplicate invoices . d. Please provide the uploaded tickets and invoices PDF files preview options so that we can check smoothly without downloading and save the time. .Please make above changes. 2. This Service request is in reference to update SHE Documents on Employee portal regarding Emergency plans & documents Updating for 102 KI. Path way enlisted below for reference - E.Portal > Policies > Safety & Environment and Remove one tour request.",Normal,101180,Resolved,Rishab Aggarwal,2025-06-20 17:37:07.437,2025-08-13 14:41:28.343,2025-08-13 14:41:28.343,Implementation Review Closed,Priyanka .,DataCenter,No,IT Support (Infra),IT Support (Employee Portal),"Financial Impact : NoTax Impact : NoPayable Impact : NoRequest Details : 1.In multiple entries missing City From / City To / Both (City From & To)2.After ticket uploading, we are unable to change at the time of invoice uploading. 3.Please provide the delete/ hide option of unused invoice entries so that we can avoid the duplicate invoices .4.Please provide the uploaded tickets and invoices PDF files preview options so that we can check smoothly without downloading and save the time.Please make above changes","Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Aug 4 2025 5:55AM,Aug 2 2025 11:49AM,Aug 4 2025 3:50AM,Aug 2 2025 11:41AM,Aug 2 2025 11:47AM",Bhasker Chhabra,Aug 4 2025 3:34PM,,,,
Page level and Database level change.,6590,"1. New Enhancement Points e-Portal in Local Conveys Module - a. In multiple entries missing City From / City To / Both (City From & To) b. After ticket uploading, we are unable to change at the time of invoice uploading. c. Please provide the delete/ hide option of unused invoice entries so that we can avoid the duplicate invoices . d. Please provide the uploaded tickets and invoices PDF files preview options so that we can check smoothly without downloading and save the time. .Please make above changes. 2. This Service request is in reference to update SHE Documents on Employee portal regarding Emergency plans & documents Updating for 102 KI. Path way enlisted below for reference - E.Portal > Policies > Safety & Environment and Remove one tour request.",Normal,104589,Resolved,Rishab Aggarwal,2025-06-20 17:37:07.437,2025-08-13 14:41:28.343,2025-08-13 14:41:28.343,Implementation Review Closed,Priyanka .,DataCenter,No,IT Support (Infra),IT Support (Employee Portal),"Financial Impact : NoTax Impact : NoPayable Impact : NoRequest Details : 1.In multiple entries missing City From / City To / Both (City From & To)2.After ticket uploading, we are unable to change at the time of invoice uploading. 3.Please provide the delete/ hide option of unused invoice entries so that we can avoid the duplicate invoices .4.Please provide the uploaded tickets and invoices PDF files preview options so that we can check smoothly without downloading and save the time.Please make above changes","Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Aug 4 2025 5:55AM,Aug 2 2025 11:49AM,Aug 4 2025 3:50AM,Aug 2 2025 11:41AM,Aug 2 2025 11:47AM",Bhasker Chhabra,Aug 4 2025 3:34PM,,,,
Database change only.,6591,"One User Suraj Agarwal San, in employee portal manage approval showing old pending approvals. need to remove all these so Need this CR.",Normal,101107,Resolved,Rishab Aggarwal,2025-06-20 17:42:51.963,2025-08-23 20:02:59.167,2025-08-23 20:02:59.167,Implementation Review Closed,Priyanka .,Sumit Kumar,No,IT Support [Hirise -Infrastructure],IT Support (Employee Portal),"Financial Impact : NoTax Impact : NoPayable Impact : NoRequest Details : Dear Team,Suraj Agarwal san facing issue in E-portal they want to remove old transfer request in eportal.User DetailsUsername- Suraj AgarwalUser ID- PI000089Contact No.- 9810296023Email ID- Suraj.Agarwal@honda.hmsi.inWe have attached the screenshot for your reference. Please check it and let us know if you have any questions. Feel free to call or message us if you need further clarification.+91 124-6782500Servicedesk.ITSupport@honda.hmsi.in","Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Aug 11 2025 12:28PM,Aug 13 2025 9:40AM,Aug 11 2025 10:50AM,Aug 11 2025 5:43AM,Aug 11 2025 3:29AM",Bhasker Chhabra,Aug 14 2025 3:26AM,,,,
SDVK963641 MM: New Purchase Group 701 & NMP: CR6593,6593,New Purchase Group,Normal,101163,Resolved,Amit Kumar,2025-06-23 08:45:34.550,2025-08-28 13:58:05.257,2025-08-28 13:58:05.257,Implementation Review Closed,Gaurav Mishra,Amit Kumar,Yes,IT Support (Enterprise Platform),"IT Support (SAP MM, QM, PP, PM, PI)",NEW PURCHASING GROUP TO BE ADDED IN SAP FOR PO CREATION: 701- EV BUYER NMP- NEW MODEL PURCHASE,"Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Aug 18 2025 5:58AM,Aug 18 2025 6:47AM,Aug 18 2025 7:52AM,Aug 18 2025 7:46AM,Aug 18 2025 7:43AM",,,,,,
Changes will be done in SF production.,6598,SAP Successfactor - Leave quota balance differences from SAP to EC-Leave apply for future date.,Normal,100218,Resolved,Siva Manepalli,2025-06-23 10:09:40.270,2025-08-12 12:18:51.880,2025-08-12 12:18:51.880,Implementation Review Closed,Nikki .,Siva Manepalli,No,IT Support (SAP Successfactor),IT Support (SAP Successfactor),"There is difference in quota between SF SAP, during applying leave for future period, due to restriction/Control are getting failed of EL encashment __Sample case-3340(Released for testing regarding EL encashment issue in preview. Further checking SAP enhancement for Balance amount to consider future leaves)","Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Jul 21 2025 12:41AM,Jul 21 2025 10:15AM,Jul 21 2025 2:50AM,Jul 21 2025 9:39AM,Jul 21 2025 5:47AM",Bhasker Chhabra,Jul 21 2025 12:53PM,,,,
Need to add Director as approver in resignation workflow for Sales Operations,6599,SAP Successfactor - Need to add Director as approver in resignation workflow for Sales Operations,Normal,100217,Resolved,Siva Manepalli,2025-06-23 10:23:51.910,2025-08-12 12:28:51.387,2025-08-12 12:28:51.387,Implementation Review Closed,Nikki .,Siva Manepalli,No,IT Support (SAP Successfactor),IT Support (SAP Successfactor),Need to add Director as approver in resignation workflow for Sales Operations as mentioned below- Operation Name Code Sales 10004787 Business Planning 10005047 Customer Service 10000370 Logistics Planning Control 10002413,"Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Aug 6 2025 8:46AM,Aug 6 2025 8:44AM,Aug 6 2025 10:19AM,Aug 6 2025 8:57AM,Aug 6 2025 8:59AM",Bhasker Chhabra,Aug 6 2025 11:04AM,,,,
Program.cs,6605,"Open vulnerabilities detected on Disha websites, Need to close the same.",Normal,101366,Resolved,Vishal Saini,2025-06-24 10:20:54.253,2025-08-14 11:46:28.867,2025-08-14 11:46:28.867,Implementation Review Closed,Vishal Saini,DataCenter,No,IT Support (Infra),IT Support (Disha Portal),"Open vulnerabilities detected on Disha websites, requesting patching of the same by development partner to maintain security posture","Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Aug 2 2025 12:56AM,Aug 1 2025 11:39AM,Aug 2 2025 5:01AM,Aug 1 2025 10:40AM,Aug 1 2025 9:38AM",Bhasker Chhabra,Aug 2 2025 5:24AM,,,,
Change logs attached - Changes will also be made to the SMS API account in this CR,6610,Upgraded Login Module Need to make Go-Live in Disha Portal,Normal,95533,Resolved,Vishal Saini,2025-06-24 13:22:02.147,2025-08-02 08:12:07.067,2025-08-02 08:12:07.067,Implementation Review Closed,Vishal Saini,DataCenter,No,IT Support (Infra),IT Support (Disha Portal),Upgraded Login Module Need to make Go-Live in Disha Portal,"Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Jun 30 2025 10:57AM,Jun 28 2025 8:24AM,Jun 28 2025 11:23AM,Jun 28 2025 8:26AM,Jun 28 2025 9:46AM",Bhasker Chhabra,Jun 30 2025 12:40PM,,,,
TR: SDVK964806 CR6630: New warehouse added for SAP to HIRISE,6630,Add all new warehouse stock details in SAP to HIRISE stock file interface for management dashboard.,Normal,101807,Resolved,Nikita Pal,2025-06-27 08:44:30.530,2025-08-25 14:36:08.420,2025-08-25 14:36:08.420,Implementation Review Closed,Nikita Pal,Amit Kumar,No,IT Support (Enterprise Platform),"IT Support (SAP SD, CS, PI)",Add all new warehouse stock details in SAP to HIRISE stock file interface for management dashboard.,"Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Aug 22 2025 6:11AM,Aug 21 2025 11:55AM,Aug 21 2025 1:48PM,Aug 21 2025 1:43PM,Aug 22 2025 2:49AM",Bhasker Chhabra,Aug 22 2025 1:18PM,,,,
SDVK964117: CR6631: SAP HR: HPOD and HGCO Integration change SDVK964854: TTL_922017 ZXPADU02:CR6631: HGCO/HPOD logic enhancements SDVK965292 - SAP HR-CR6631-Variance Report Changes,6631,SAP HR:- Removal of dependency of Quota for POD and Grace time in SAP . The effective date is 1st July .,Normal,101476,Resolved,Sarvada Kamble,2025-06-27 08:52:44.347,2025-08-04 17:25:03.100,2025-08-04 17:25:03.100,Implementation Review Closed,Nikki .,Amit Kumar,No,IT Support (Enterprise Platform),IT Support (SAP FI and HR),Quota removal from the SAP ECC for POD and Grace time to get it updated which is raised by Success Factors.,"Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Aug 1 2025 6:02AM,Aug 1 2025 11:39AM,Aug 1 2025 3:48AM,Aug 1 2025 10:40AM,Aug 1 2025 4:35AM",Bhasker Chhabra,Aug 2 2025 5:24AM,,,,
